id_amat,nome
10510,Via Pepere prima di Via Paterno'
10511,Via Pepere dopo Via Paterno'
10512,Via Chiodi prima di V.le Faenza
10513,Via Pepere dopo Via Giussani
10514,Via Pepere prima di Via Giussani
10515,Via Giussani prima di Via Parenzo
10516,Via Giussani dopo Via Parenzo
10517,Via Parenzo prima di P.za Negrelli
10519,P.le Negrelli prima di Via Lodovico il Moro
10521,Via Chiodi prima di Via Pepere
10522,"Via Tobagi, 21 dopo V.le Faenza"
10523,Via Lodovico il Moro prima di Via Guintellino
10524,"Via Lodovico il Moro, 61 dopo Via Guintellino"
10525,"V.le Murillo 48, prima di P.le Zavattari"
10526,Via Tobagi dopo Via S.Cottolengo
10527,Cavalc. Don Milani altezza Via Lodovico il Moro
10528,Cavalc. Don Milani altezza Via Lodovico il Moro
10529,Via Lodovico il Moro dopo V.le Richard
10530,Via Lodovico il Moro sotto il Cavalcavia Don Milani
10531,Via Tobagi fronte 2 prima di Via S.Rita da Cascia
10532,"Via S.Rita da Cascia, 3/B prima di P.za Ohm"
10533,"Via S.Rita Da Cascia, 8 dopo P.le Ohm"
10534,"Via Watt, 41"
10535,"Via Watt, 42"
10536,"Via Lodovico il Moro, 25"
10537,Via Lodovico il Moro fronte 25
10538,"Via Soderini, 47 dopo Via S.Gimignano"
10539,"L.go Giambellino, 121 (dep. ATM) dopo L.go Gelsomini"
10540,L.go Giambellino (fronte Deposito ATM)
10541,"Via Lorenteggio, 147 dopo Via degli Zuccaro"
10542,"Via Lorenteggio, 84 prima di Via delle Primule"
10543,Via Soderini prima di Via D'Alviano
10544,Via D'Alviano dopo Via Soderini
10545,"Via D'Alviano, 29 dopo Via Soderini"
10546,Via Soderini prima di Via D'Alviano
10547,"Via Giambellino, 79 dopo di Via Carriera"
10548,Via Giambellino altezza Via Curio Dentato
10549,"P.za Frattini, 19 prima di Via Bellini"
10551,"Via Brunelleschi, 2 dopo Via Giambellino"
10552,"Via Bellini, 15 dopo Via Giambellino"
10554,Via Soderini prima di Via Neri
10555,Via Soderini prima di Via Perosi
10556,"Via Giambellino, 64 prima di Via Bellini"
10558,"Via Lorenteggio, 34 dopo Via Romagnoli"
10559,"Via Lorenteggio, 45 prima di Via Vignoli"
10560,"Via Giambellino, 46 dopo Via Vignoli"
10561,"Via Giambellino, 41 prima di Via Vignoli"
10562,Via Lorenteggio dopo Via Tolstoi
10564,Via Giambellino fronte 22 prima di Via Tolstoi
10567,"Via D'Alviano, 67 prima di Via Tuberose"
10568,"Via D'Alviano, 76 prima di Via Tuberose"
10569,"Via C. da Forli', 61 dopo P.le Bande Nere"
10570,"Via C. da Forli', 52 prima di V.le Bande Nere"
10571,"P.le Bande Nere, 6"
10573,"P.le Siena, 9 dopo V.le Pisa"
10575,"Via C. da Forli', 43"
10576,"Via Anguissola,  dopo P.le Gambara"
10577,"Via C. da Forli', 40 prima di Via Marostica"
10579,"P.le Gambara, 9"
10580,"Via C.da Forli', 19 prima di Via del Fezzan"
10582,Via Fezzan prima di Via Soderini
10583,"V.le Bezzi, dopo Via Trivulzio"
10584,"Via Trivulzio, 15 prima di V.le Bezzi"
