"Età (classi funzionali)";"NIL (Nuclei di Identità Locale)";"Residenti"
"19-24 anni";"Quarto Oggiaro - Vialba - Musocco (76)";2104
"19-24 anni";"Bovisa (77)";777
"19-24 anni";"Farini (78)";205
"19-24 anni";"Dergano (79)";1463
"19-24 anni";"Affori (80)";1395
"19-24 anni";"Bovisasca (81)";434
"19-24 anni";"Comasina (82)";628
"19-24 anni";"Bruzzano (83)";672
"19-24 anni";"Parco Nord (84)";5
"19-24 anni";"Parco delle Abbazie (85)";26
"19-24 anni";"Parco dei Navigli (86)";26
"19-24 anni";"Assiano (87)";9
"19-24 anni";"Parco Bosco in citta' (88)";34
"25-34 anni";"Duomo (1)";2035
"25-34 anni";"Brera (2)";2011
"25-34 anni";"Giardini P.ta Venezia (3)";6
"25-34 anni";"Guastalla (4)";1674
"25-34 anni";"Porta Vigentina - Porta Lodovica (5)";1711
"25-34 anni";"Porta Ticinese - Conca del Naviglio (6)";3067
"25-34 anni";"Magenta - S.Vittore (7)";2075
"25-34 anni";"Porta Garibaldi - Porta Nuova (9)";934
"25-34 anni";"Stazione Centrale - Ponte Seveso (10)";3069
"25-34 anni";"Isola (11)";3228
"25-34 anni";"Maciachini - Maggiolina (12)";3320
"25-34 anni";"Greco - Segnano (13)";2175
"25-34 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";4032
"25-34 anni";"Bicocca (15)";1188
"25-34 anni";"Gorla - Precotto (16)";3881
"25-34 anni";"Adriano (17)";2424
"25-34 anni";"Cimiano - Rottole - Q.re Feltre (18)";2313
"25-34 anni";"Padova - Turro - Crescenzago (19)";4907
"25-34 anni";"Loreto - Casoretto - NoLo (20)";6831
"25-34 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";7997
"25-34 anni";"Citta' studi (22)";4905
